--------5.results/QE_160627_53/QE_160627_53.sqlite3---------
-------------Discriminative peptides per spname-------------
Cumulative Count       % Rank                 Description                             
6459       2317    99.78 family               Pasteurellaceae                         
4139       581     99.61 genus                Haemophilus                             
3557       3461    99.55 species              Haemophilus influenzae                  
41         41      37.96 no rank              Haemophilus influenzae KR494            
21         21      19.44 no rank              Haemophilus influenzae 86-028NP         
10         10       9.26 no rank              Haemophilus influenzae F3031            
6          6        5.56 no rank              Haemophilus influenzae F3047            
6          6        5.56 no rank              Haemophilus influenzae PittGG           
5          5        4.63 no rank              Haemophilus influenzae 10810            
4          4        3.70 no rank              Haemophilus influenzae PittEE           
2          2        1.85 no rank              Haemophilus influenzae R2846            
2          2        1.85 no rank              Haemophilus somnus 2336                 
2          0        1.85 no rank              Stenotrophomonas maltophilia group      
1          1        0.93 no rank              Actinobacillus succinogenes 130Z        
1          1        0.93 no rank              Actinoplanes missouriensis 431          
1          1        0.93 no rank              Candidatus Protochlamydia amoebophila UWE25
1          1        0.93 no rank              Candidatus Symbiobacter mobilis CR      
1          0        0.93 no rank              Chlamydiae/Verrucomicrobia group        
1          1        0.93 no rank              Frateuria aurantia DSM 6220             
1          1        0.93 no rank              Haemophilus influenzae R2866            
1          1        0.93 no rank              Haemophilus parainfluenzae T3T1         
1          1        0.93 no rank              Psychrobacter arcticus 273-4            
4          4        0.11 species              Arcobacter sp. L                        
4          0        0.10 genus                Arcobacter                              
4          0        0.06 family               Campylobacteraceae                      
2          0        0.06 species              Histophilus somni                       
2          2        0.06 species              Stenotrophomonas maltophilia            
2          0        0.05 genus                Histophilus                             
2          0        0.05 genus                Stenotrophomonas                        
3          1        0.05 family               Xanthomonadaceae                        
1          0        0.03 species              Actinobacillus succinogenes             
1          0        0.03 species              Actinoplanes missouriensis              
1          0        0.03 species              Candidatus Protochlamydia amoebophila   
1          0        0.03 species              Candidatus Symbiobacter mobilis         
1          0        0.03 species              Frateuria aurantia                      
1          0        0.03 species              Haemophilus parainfluenzae              
1          1        0.03 species              Pediococcus pentosaceus                 
1          0        0.03 species              Psychrobacter arcticus                  
1          0        0.02 genus                Actinobacillus                          
1          0        0.02 genus                Actinoplanes                            
1          0        0.02 genus                Candidatus Protochlamydia               
1          0        0.02 genus                Candidatus Symbiobacter                 
1          0        0.02 genus                Frateuria                               
1          0        0.02 genus                Pediococcus                             
1          0        0.02 genus                Psychrobacter                           
1          1        0.02 genus                Vibrio                                  
1          0        0.02 family               Comamonadaceae                          
1          0        0.02 family               Lactobacillaceae                        
1          0        0.02 family               Micromonosporaceae                      
1          0        0.02 family               Moraxellaceae                           
1          0        0.02 family               Parachlamydiaceae                       
1          0        0.02 family               Rhodanobacteraceae                      
1          0        0.02 family               Vibrionaceae                            
